post_id,campaign,platform,format,hook,body,cta,visual_brief,proof_requirement,trust_risk,approval_status
MGW-001,Recognition,LinkedIn,text,"Your team may not have an execution problem.","It may have a GroundWork problem: unclear ownership, competing definitions of success, and decisions that never became operating agreements. More activity will not repair a weak foundation. Before adding another tool or meeting, name the outcome, owner, decision rights, and first proof that the work is moving.","What part of the foundation is least clear?","Minimal foundation diagram with four labeled blocks: Outcome, Owner, Decisions, Proof","None; conceptual post","Avoid implying every execution issue has one cause",Review
MGW-002,Recognition,Instagram,carousel,"Five signs the project started too early","1. Everyone uses the same words differently. 2. The deadline exists, but the decision path does not. 3. Work is assigned before success is defined. 4. The team adds tools instead of resolving ownership. 5. Progress is reported as activity rather than evidence.","Save this before your next kickoff.","Six-slide carousel; cover plus one sign per slide","None; conceptual post","Do not diagnose specific organizations",Review
MGW-003,Education,LinkedIn,text,"A kickoff meeting is not a foundation.","A useful kickoff should leave the team with five durable outputs: a shared outcome, explicit scope, named decision owners, a visible operating rhythm, and a first test of progress. If those outputs do not exist after the meeting, the project has been introduced—not grounded.","Use this as your next kickoff checklist.","Checklist card with five outputs","None",Low,Review
MGW-004,Education,Instagram,carousel,"The four layers of solid GroundWork","Layer 1: Purpose—why this work matters now. Layer 2: Direction—what outcome and boundaries govern it. Layer 3: Operating system—who decides, acts, and communicates. Layer 4: Evidence—what will show that the work is real.","Which layer is missing in your current work?","Layered earth/foundation illustration","None",Low,Review
MGW-005,Proof,LinkedIn,text,"Good strategy becomes visible in operating choices.","A strategy is not complete when the language sounds compelling. It becomes usable when priorities change, resources move, owners are named, tradeoffs are accepted, and progress can be inspected. Mission GroundWork focuses on that translation—from ambition to an operating foundation.","Follow for practical operating frameworks.","Strategy-to-operations bridge diagram","Link a case when available","Avoid implying proprietary proof without evidence",Review
MGW-006,Offer,LinkedIn,text,"Before you hire more capacity, test the foundation.","When a team feels overloaded, the first instinct is often to add a person, platform, or process. Sometimes that is necessary. Sometimes the real issue is unresolved scope, duplicated ownership, or work that should stop. A GroundWork Diagnostic is designed to identify which problem you actually have before you invest further.","Request a GroundWork Diagnostic when the intake page is live.","Decision tree: capacity vs foundation","Working intake URL required before approval","CTA cannot publish before destination works",Draft
MGW-007,Recognition,Instagram,reel,"Busy is not the same as aligned.","Three quick checks: Can everyone state the same outcome? Does each major decision have an owner? Can the team name the next proof point? If not, pause the acceleration and repair the foundation.","Share with the person leading your next initiative.","15-second kinetic typography with three checks","None","Avoid shaming overloaded teams",Review
MGW-008,Education,LinkedIn,text,"Decision rights are a delivery tool.","Projects slow down when people do not know who recommends, who decides, who executes, and who must be consulted. A lightweight decision map often creates more speed than another status meeting because it removes invisible negotiation from routine work.","Map one recurring decision today.","RACI alternative with Recommend, Decide, Execute, Consult","None",Low,Review
MGW-009,Education,Instagram,carousel,"Replace status updates with evidence updates","Instead of: We met with partners. Use: Three partners reviewed the draft; two approved and one identified a policy conflict. Instead of: The campaign is moving. Use: The landing page converted 18 of 240 visitors. Evidence makes the next decision possible.","Rewrite one update using evidence.","Before/after status cards","Any numeric example must be labeled illustrative","Illustrative numbers could be mistaken for client data",Review
MGW-010,Founder,LinkedIn,text,"I built Mission GroundWork around a recurring pattern.","Across programs, partnerships, fundraising, communications, and operations, teams often begin important work before the shared operating foundation exists. The resulting friction is treated as a people problem or motivation problem when it is frequently a design problem. GroundWork makes that foundation visible and usable.","What kind of work repeatedly loses clarity in your organization?","Portrait or simple founder note card","Use only verified experience already in canonical materials","Avoid overstating breadth beyond documented work",Review
MGW-011,Recognition,LinkedIn,text,"The tool is rarely the first decision.","Before choosing software, define the workflow, owner, required evidence, handoffs, exception path, and review rhythm. Otherwise the team automates ambiguity and pays to preserve it.","Use this before your next platform purchase.","Tool sitting atop cracked workflow foundation","None",Low,Review
